title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,year
Black Adam,389,169%,1.7,230,163,43.10%,215,56.90%,2022
Black Panther,1382,674%,6.7,205,700,50.70%,682,49.30%,2018
Black Panther: Wakanda Forever,676,270%,2.7,250,367,54.40%,309,45.60%,2022
Black Swan,329,2534%,25.3,13,107,32.50%,222,67.50%,2010
Black Widow,380,190%,1.9,200,184,48.40%,196,51.60%,2021
Blair Witch Project,248,165333%,1653.3,0.15,140,56.40%,108,43.60%,1999
Bohemian Rhapsody,911,1752%,17.5,52,217,23.80%,694,76.20%,2018
Bolt,310,207%,2.1,150,114,36.80%,196,63.20%,2008
Boyhood,44,1112%,11.1,4,25.4,57.00%,19.1,43.00%,2014
Brave,539,291%,2.9,185,237,44.00%,302,56.00%,2012
Breaking Dawn - Part 1,712,561%,5.6,127,281,39.50%,431,60.50%,2011
Breaking Dawn - Part 2,849,624%,6.2,136,292,34.40%,557,65.60%,2012
Bruce Almighty,485,598%,6,81,243,50.10%,242,49.90%,2003
Bumblebee,468,347%,3.5,135,127,27.20%,341,72.80%,2018
Call Me By Your Name,42,1191%,11.9,3.5,18.1,43.40%,23.6,56.60%,2018
Captain America: Civil War,1153,461%,4.6,250,408,35.40%,745,64.60%,2016
Captain America: The First Avenger,371,265%,2.6,140,177,47.70%,194,52.30%,2011
Captain America: The Winter Soldier,714,420%,4.2,170,260,36.40%,455,63.60%,2014
Captain Marvel,1128,742%,7.4,152,427,37.80%,702,62.20%,2019
Cars,462,385%,3.8,120,244,52.80%,218,47.20%,2006
Cars 2,560,280%,2.8,200,191,34.20%,368,65.80%,2011
Cars 3,384,219%,2.2,175,153,39.80%,231,60.20%,2017
Casino Royale,617,411%,4.1,150,167,27.20%,449,72.80%,2006
Cast Away,430,477%,4.8,90,234,54.40%,196,45.60%,2000
Catch Me If You Can,352,677%,6.8,52,165,46.80%,187,53.20%,2002
Charlie and the Chocolate Factory,475,317%,3.2,150,206,43.50%,269,56.50%,2005
Chernobyl Diaries,37,3716%,37.2,1,18.1,48.80%,19,51.20%,2012
Chicken Little,314,210%,2.1,150,135,43.10%,179,56.90%,2005
Chronicle,127,1055%,10.6,12,64.6,51.00%,62.1,49.00%,2012
Cinderella,542,571%,5.7,95,201,37.10%,341,62.90%,2015
Clash of the Titans,493,395%,3.9,125,163,33.10%,330,66.90%,2010
Coco,808,359%,3.6,225,210,26.00%,597,74.00%,2017
Crocodile Dundee,328,3282%,32.8,10,175,53.30%,153,46.70%,1986
Dallas Buyers Club,55,1104%,11,5,27.3,49.50%,27.9,50.50%,2013
Dances with Wolves,424,1928%,19.3,22,184,43.40%,240,56.60%,1990
Dawn of the Planet of the Apes,711,418%,4.2,170,209,29.40%,502,70.60%,2014
Deadpool,783,1350%,13.5,58,363,46.40%,420,53.60%,2016
Deadpool 2,786,714%,7.1,110,325,41.30%,461,58.70%,2018
Deep Impact,349,437%,4.4,80,140,40.20%,209,59.80%,1998
Despicable Me,543,787%,7.9,69,252,46.30%,292,53.70%,2010
Despicable Me 2,971,1245%,12.4,78,368,37.90%,603,62.10%,2013
Despicable Me 3,1035,1294%,12.9,80,265,25.60%,770,74.40%,2017
Die Another Day,432,304%,3,142,161,37.30%,271,62.70%,2002
Die Hard with a Vengeance,366,407%,4.1,90,100,27.30%,266,72.70%,1995
Dinosaur,350,280%,2.8,125,138,39.40%,212,60.60%,2000
Django Unchained,426,426%,4.3,100,163,38.20%,263,61.80%,2012
Don Jon,30,1015%,10.2,3,24.5,80.40%,6,19.60%,2013
Don’t Breathe,153,1542%,15.4,9.9,89,58.30%,63.6,41.70%,2016
Dope,18,2569%,25.7,0.7,17.5,97.30%,0.5,2.70%,2015
Downton Abbey,185.9,1094%,10.9,17,96.7,52.00%,89.2,48.00%,2019
Dr Strange,678,411%,4.1,165,233,34.30%,445,65.70%,2016
Dr Strange: Multiverse of Madness,956,478%,4.8,200,411,43.00%,544,57.00%,2022
Dragon Ball Super: Broly,103.6,1219%,12.2,8.5,30.7,29.60%,72.9,70.40%,2019
Dumbo,353,208%,2.1,170,115,32.50%,239,67.50%,2019
Dune,402,244%,2.4,165,108,27.00%,294,73.00%,2021
Dunkirk,527,527%,5.3,100,190,36.00%,337,64.00%,2017
E.T.,793,7552%,75.5,10.5,437,55.10%,356,44.90%,1982
Edge of Tomorrow,371,208%,2.1,178,100,27.00%,270,73.00%,2014
Empire Strikes Back,538,1737%,17.4,31,293,54.40%,246,45.60%,1980
Enchanted,340,401%,4,85,128,37.50%,213,62.50%,2007
Escape Room,153.4,1705%,17,9,56.9,37.10%,96.5,62.90%,2019
Eternals,402,201%,2,200,165,41.00%,237,59.00%,2021
F9: The Fast Saga,726,363%,3.6,200,173,23.80%,553,76.20%,2021
Fantastic Beasts and Where to Find Them,814,407%,4.1,200,234,28.80%,580,71.20%,2016
Fantastic Beasts: The Crimes of Grindelwald,655,327%,3.3,200,160,24.40%,495,75.60%,2018
Fantastic Beasts: The Secrets of Dumbledore,405,203%,2,200,96,23.70%,309,76.30%,2022
Fantastic Four,334,278%,2.8,120,155,46.40%,179,53.60%,2005
Fast & Furious,360,424%,4.2,85,155,43.00%,205,57.00%,2009
Fast & Furious 6,789,493%,4.9,160,239,30.30%,550,69.70%,2013
Fast Five,626,501%,5,125,210,33.50%,416,66.50%,2011
Fatal Attraction,320,2287%,22.9,14,157,48.90%,164,51.10%,1987
Fifty Shades Darker,382,694%,6.9,55,115,30.00%,267,70.00%,2017
Fifty Shades Freed,372,676%,6.8,55,100,27.00%,272,73.00%,2018
Fifty Shades of Grey,570,1424%,14.2,40,166,29.20%,403,70.80%,2015
Finding Dory,1029,514%,5.1,200,486,47.30%,542,52.70%,2016
Finding Nemo,940,1000%,10,94,381,40.50%,560,59.50%,2003
Fireproof,33,6696%,67,0.5,33.5,99.90%,0,0.10%,2008
Forrest Gump,678,1233%,12.3,55,330,48.70%,348,51.30%,1994
Free Guy,332,265%,2.7,125,122,36.70%,210,63.30%,2021
Frozen,1305,870%,8.7,150,401,30.70%,904,69.30%,2013
Frozen II,1450,967%,9.7,150,477,32.90%,973,67.10%,2019
Furious 7,1515,798%,8,190,353,23.30%,1162,76.70%,2015
G.I. Joe: Retaliation,376,289%,2.9,130,123,32.60%,253,67.40%,2013
Get Out,254,5652%,56.5,4.5,175.5,69.00%,78.8,31.00%,2017
Ghost,506,2199%,22,23,218,43.00%,288,57.00%,1990
Gladiator,465,452%,4.5,103,188,40.30%,278,59.70%,2000
Glass,246.9,1235%,12.3,20,111,45.00%,135.9,55.00%,2019
God's Not Dead,63,3132%,31.3,2,60.8,97.00%,1.9,3.00%,2014
Godzilla,525,328%,3.3,160,201,38.20%,324,61.80%,2014
Godzilla,379,253%,2.5,150,136,36.00%,243,64.00%,1998
Godzilla vs. Kong,470,235%,2.4,200,101,21.50%,369,78.50%,2021
Godzilla: King of the Monsters,387,227%,2.3,170,111,28.60%,276,71.40%,2019
GoldenEye,352,587%,5.9,60,106,30.20%,246,69.80%,1995
Gone Girl,369,605%,6.1,61,168,45.40%,202,54.60%,2014
Grandma,7,1140%,11.4,0.6,6.7,98.50%,0.1,1.50%,2015
Gravity,723,723%,7.2,100,274,37.90%,449,62.10%,2013
Grease,396,6605%,66,6,190,48.00%,206,52.00%,1978
Green Book,322,1399%,14,23,85,26.40%,237,73.60%,2018
Guardians of the Galaxy,773,455%,4.5,170,334,43.20%,440,56.80%,2014
Guardians of the Galaxy Vol. 2,864,432%,4.3,200,390,45.10%,474,54.90%,2017
Halloween ,254,2537%,25.4,10,159.3,62.80%,94.3,37.20%,2018
Hancock,629,420%,4.2,150,228,36.20%,401,63.80%,2008
Hannibal,352,404%,4,87,165,46.90%,187,53.10%,2001
Happy Death Day,112,2341%,23.4,4.8,55.7,49.50%,56.7,50.50%,2017
Happy Feet,384,384%,3.8,100,198,51.50%,186,48.50%,2006
Harry Potter & the Goblet of Fire,897,598%,6,150,290,32.40%,606,67.60%,2005
Harry Potter & the Order of the Phoenix,942,628%,6.3,150,292,31.00%,650,69.00%,2007
Harry Potter & the Prisoner of Azkaban,798,614%,6.1,130,250,31.40%,548,68.60%,2004
Harry Potter & the Sorcerer's Stone,1024,819%,8.2,125,319,31.20%,705,68.80%,2001
Harry Potter and the Chamber of Secrets,903,903%,9,100,263,29.10%,640,70.90%,2002
Harry Potter and the Deathly Hallows: Part 1,977,782%,7.8,125,296,30.30%,681,69.70%,2010
Harry Potter and the Deathly Hallows: Part 2,1342,1074%,10.7,125,381,28.40%,961,71.60%,2011
Harry Potter and the Half-Blood Prince,934,374%,3.7,250,302,32.40%,632,67.60%,2009
"Hello, My Name is Doris",29,2896%,29,1,28.8,99.30%,0.2,0.70%,2016
High School Musical 3,253,2299%,23,11,90.6,35.80%,162.4,64.20%,2008
Hitch,372,531%,5.3,70,179,48.30%,192,51.70%,2005
Hobbs & Shaw,761,380%,3.8,200,174,22.90%,587,77.10%,2019
Home,386,286%,2.9,135,177,46.00%,209,54.00%,2015
Home Alone,477,2648%,26.5,18,286,60.00%,191,40.00%,1990
Home Alone 2,359,1282%,12.8,28,174,48.40%,185,51.60%,1992
Hotel Transylvania,358,422%,4.2,85,148,41.40%,210,58.60%,2012
Hotel Transylvania 2,475,594%,5.9,80,170,35.70%,305,64.30%,2015
Hotel Transylvania 3: Summer Vacation,529,661%,6.6,80,168,31.70%,361,68.30%,2018
How the Grinch Stole Christmas,346,281%,2.8,123,261,75.40%,85,24.60%,2000
How to Train Your Dragon,495,300%,3,165,218,44.00%,277,56.00%,2010
How to Train Your Dragon 2,622,429%,4.3,145,177,28.50%,445,71.50%,2014
How to Train Your Dragon: The Hidden World,525,407%,4.1,129,161,30.70%,364,69.30%,2019
I Am Legend,585,390%,3.9,150,256,43.80%,329,56.20%,2007
I Can Only Imagine,83,1193%,11.9,7,83.5,100.00%,0,0.00%,2018
"I, Robot",353,294%,2.9,120,145,41.00%,208,59.00%,2004
Ice Age,383,639%,6.4,60,176,46.00%,207,54.00%,2002
Ice Age: Collision Course,409,389%,3.9,105,64,15.70%,345,84.30%,2016
Ice Age: Continental Drift,877,923%,9.2,95,161,18.40%,716,81.60%,2012
Ice Age: Dawn of the Dinosaurs,887,985%,9.9,90,197,22.20%,690,77.80%,2009
Ice Age: The Meltdown,667,834%,8.3,80,195,29.30%,472,70.70%,2006
Inception,837,523%,5.2,160,293,35.00%,544,65.00%,2010
Incredibles 2,1243,622%,6.2,200,609,49.00%,635,51.00%,2018
Independence Day,817,1090%,10.9,75,306,37.50%,511,62.50%,1996
Independence Day: Resurgence,390,236%,2.4,165,103,26.50%,287,73.50%,2016
Indiana Jones & the Last Crusade,474,988%,9.9,48,197,41.60%,277,58.40%,1989
Indiana Jones and the Kingdom of the Crystal Skull,791,427%,4.3,185,317,40.10%,474,59.90%,2008
Indiana Jones and the Temple of Doom,333,1190%,11.9,28,180,54.00%,153,46.00%,1984
Inglourious Basterds,321,459%,4.6,70,121,37.50%,201,62.50%,2009
Inside Out,859,491%,4.9,175,357,41.60%,502,58.40%,2015
Insidious,67,4485%,44.9,1.5,54,80.30%,13.3,19.70%,2011
Insidious: Chpt 3,110,1095%,11,10,52.2,47.70%,57.3,52.30%,2015
Insidious: The Last Key,168,1677%,16.8,10,67.3,40.20%,100.4,59.80%,2018
Insidious Chpt 2,162,3238%,32.4,5,83.6,51.60%,78.3,48.40%,2013
Instructions Not Included,99,1801%,18,5.5,44.5,44.90%,54.6,55.10%,2013
Interstellar,774,469%,4.7,165,188,24.30%,586,75.70%,2014
Iron Man,586,418%,4.2,140,319,54.50%,267,45.50%,2008
Iron Man 2,624,312%,3.1,200,312,50.10%,312,49.90%,2010
Iron Man 3,1215,607%,6.1,200,409,33.70%,806,66.30%,2013
It,702,1755%,17.5,40,329,46.90%,373,53.10%,2017
It Chapter Two,473,599%,6,79,212,44.70%,262,55.30%,2019
Jason Bourne,415,346%,3.5,120,162,39.10%,253,60.90%,2016
Jaws,477,5295%,52.9,9,266,55.80%,211,44.20%,1975
Jigsaw,101,1010%,10.1,10,37.9,37.50%,63.1,62.50%,2017
John Wick: Chapter 3 - Parabellum,328,438%,4.4,75,171,52.10%,157,47.90%,2019
Joker,1105,1578%,15.8,70,335,30.40%,769,69.60%,2019
Journey 2: The Mysterious Island,335,419%,4.2,80,104,31.00%,231,69.00%,2012
Jumanji: The Next Level,802,607%,6.1,132,320,40.00%,481,60.00%,2019
Jumanji: Welcome to the Jungle,963,1069%,10.7,90,405,42.00%,558,58.00%,2017
Juno,231,3082%,30.8,7.5,143.5,62.10%,87.7,37.90%,2007
Jurassic Park,1110,1762%,17.6,63,404,36.40%,706,63.60%,1993
Jurassic Park III,369,397%,4,93,181,49.10%,188,50.90%,2001
Jurassic World,1672,1114%,11.1,150,653,39.10%,1018,60.90%,2015
Jurassic World: Dominion,1001,541%,5.4,185,376,37.60%,625,62.40%,2022
Jurassic World: Fallen Kingdom,1310,701%,7,187,418,31.90%,893,68.10%,2018
Justice League,658,219%,2.2,300,229,34.80%,429,65.20%,2017
King Kong,557,269%,2.7,207,218,39.20%,339,60.80%,2005
Kingsman: The Golden Circle,411,395%,4,104,100,24.40%,311,75.60%,2017
Kingsman: The Secret Service,414,441%,4.4,94,128,31.00%,286,69.00%,2015
Knives Out,313,782%,7.8,40,165,52.80%,148,47.20%,2019
Kong: Skull Island,567,306%,3.1,185,168,29.70%,399,70.30%,2017
Kung Fu Panda,632,486%,4.9,130,216,34.10%,416,65.90%,2008
Kung Fu Panda 2,666,444%,4.4,150,165,24.80%,500,75.20%,2011
Kung Fu Panda 3,521,359%,3.6,145,144,27.50%,378,72.50%,2016
La La Land,471,1571%,15.7,30,151,32.10%,320,67.90%,2016
Les Misérables,442,725%,7.3,61,149,33.60%,293,66.40%,2012
Lethal Weapon 3,322,919%,9.2,35,145,45.00%,177,55.00%,1992
Life of Pi,609,508%,5.1,120,125,20.50%,484,79.50%,2012
Lights Out,149,3036%,30.4,4.9,67.3,45.20%,81.5,54.80%,2016
Lion,149,1242%,12.4,12,7.2,4.80%,141.6,95.00%,2016
Little Fockers,311,311%,3.1,100,148,47.80%,162,52.20%,2010
Live Free or Die Hard,388,353%,3.5,110,135,34.70%,254,65.30%,2007
Logan,619,516%,5.2,120,226,36.50%,393,63.50%,2017
LOTR: The Fellowship of the Ring,898,966%,9.7,93,316,35.20%,582,64.80%,2001
LOTR: The Return of the King,1146,1220%,12.2,94,378,33.00%,768,67.00%,2003
LOTR: Two Towers,948,1008%,10.1,94,343,36.20%,605,63.80%,2002
Lucy,469,1203%,12,39,127,27.00%,342,73.00%,2014
Mad Max: Fury Road,390,211%,2.1,185,154,39.60%,235,60.40%,2015
Madagascar,542,723%,7.2,75,194,35.70%,348,64.30%,2005
Madagascar 3: Europe's Most Wanted,747,515%,5.2,145,216,29.00%,531,71.00%,2012
Madagascar: Escape 2 Africa,604,403%,4,150,180,29.80%,424,70.20%,2008
Magic Mike,167,2389%,23.9,7,113.7,68.00%,53.5,32.00%,2012
Maleficent,758,421%,4.2,180,241,31.80%,517,68.20%,2014
Maleficent: Mistress of Evil,492,266%,2.7,185,114,23.20%,378,76.80%,2019
Mamma Mia!,611,1175%,11.8,52,144,23.60%,467,76.40%,2008
Mamma Mia! Here We Go Again,402,536%,5.4,75,121,30.00%,282,70.00%,2018
Man of Steel,668,297%,3,225,291,43.60%,377,56.40%,2013
Mary Poppins Returns,350,269%,2.7,130,172,49.20%,178,50.80%,2018
Maze Runner: The Scorch Trials,312,512%,5.1,61,82,26.20%,231,73.80%,2015
Me Before You,208,1039%,10.4,20,56.2,27.10%,151.6,72.90%,2016
Meet the Fockers,523,653%,6.5,80,279,53.40%,243,46.60%,2004
Meet the Parents,330,601%,6,55,166,50.30%,164,49.70%,2000
Megamind,322,248%,2.5,130,148,46.10%,173,53.90%,2010
Men in Black,589,655%,6.5,90,251,42.50%,339,57.50%,1997
Men in Black 3,654,291%,2.9,225,179,27.40%,475,72.60%,2012
Men in Black II,445,318%,3.2,140,194,43.50%,251,56.50%,2002
Minions,1159,1567%,15.7,74,336,29.00%,823,71.00%,2015
Minions: The Rise of Gru,939,1174%,11.7,80,370,39.30%,570,60.70%,2022
Minority Report,358,351%,3.5,102,132,36.80%,226,63.20%,2002
Mission: Impossible,458,572%,5.7,80,181,39.50%,277,60.50%,1996
Mission: Impossible - Fallout,792,445%,4.4,178,220,27.80%,571,72.20%,2018
Mission: Impossible - Ghost Protocol,695,479%,4.8,145,209,30.10%,485,69.90%,2011
Mission: Impossible - Rogue Nation,683,455%,4.6,150,195,28.60%,488,71.40%,2015
Mission: Impossible II,546,437%,4.4,125,215,39.40%,331,60.60%,2000
Mission: Impossible III,398,266%,2.7,150,134,33.60%,264,66.40%,2006
Moana,660,377%,3.8,175,249,37.70%,412,62.30%,2016
Mockingjay - Part 1,755,604%,6,125,337,44.60%,418,55.40%,2014
Mockingjay - Part 2,653,408%,4.1,160,282,43.10%,372,56.90%,2015
Monsters University,744,372%,3.7,200,268,36.10%,475,63.90%,2013
Monsters vs. Aliens,382,224%,2.2,170,198,52.00%,183,48.00%,2009
"Monsters, Inc.",580,504%,5,115,291,50.10%,289,49.90%,2001
Mr. & Mrs. Smith,487,443%,4.4,110,186,38.20%,301,61.80%,2005
Mrs. Doubtfire,441,1765%,17.7,25,219,49.70%,222,50.30%,1993
Murder on the Orient Express,353,641%,6.4,55,103,29.20%,250,70.80%,2017
My Big Fat Greek Wedding,369,7375%,73.7,5,241,65.50%,127,34.50%,2002
National Treasure,348,348%,3.5,100,173,49.80%,175,50.20%,2004
National Treasure: Book of Secrets,459,353%,3.5,130,220,47.90%,239,52.10%,2007
Neighbors,268,1490%,14.9,18,150.2,56.00%,118,44.00%,2014
Night at the Museum,574,522%,5.2,110,251,43.70%,324,56.30%,2006
Night at the Museum: Battle of the Smithsonian,413,275%,2.8,150,177,42.90%,236,57.10%,2009
Night at the Museum: Secret of the Tomb,363,286%,2.9,127,114,31.30%,249,68.70%,2014
No Escape,54,12074%,120.7,0.45,27.2,50.10%,27.1,49.90%,2015
No Time to Die,774,310%,3.1,250,161,20.80%,613,79.20%,2021
Noah,359,287%,2.9,125,101,28.20%,258,71.80%,2014
Notting Hill,364,866%,8.7,42,116,31.90%,248,68.10%,1999
Now You See Me,352,469%,4.7,75,118,33.50%,234,66.50%,2013
Now You See Me 2,335,279%,2.8,120,65,19.40%,270,80.60%,2016
Ocean's Eleven,451,530%,5.3,85,183,40.70%,267,59.30%,2001
Ocean's Thirteen,311,366%,3.7,85,117,37.60%,194,62.40%,2007
Ocean's Twelve,363,330%,3.3,110,126,34.60%,237,65.40%,2004
Once Upon a Time in Hollywood,378,393%,3.9,96,143,37.70%,235,62.30%,2019
Ouija,103,2051%,20.5,5,50.9,49.60%,51.7,50.40%,2014
Over the Hedge,340,425%,4.2,80,155,45.60%,185,54.40%,2006
Oz the Great and Powerful,493,247%,2.5,200,235,47.60%,258,52.40%,2013
Pacific Rim,411,206%,2.1,200,102,24.80%,309,75.20%,2013
Paranormal Activity ,194,1293333%,12933.3,0.015,107.9,55.60%,85.4,44.00%,2009
Paranormal Activity 2,177,5900%,59,3,84.8,47.90%,92.8,52.40%,2010
Paranormal Activity 3,207,4140%,41.4,5,104,50.30%,52.6,25.40%,2011
Paranormal Activity 4,142,2857%,28.6,5,53.9,38.00%,88.9,62.60%,2012
Paranormal Activity: The Marked Ones,91,1818%,18.2,5,32.5,35.70%,58.4,64.30%,2014
Parasite,117.3,1066%,10.7,11,18.3,15.60%,99,84.40%,2019
Pearl Harbor,449,321%,3.2,140,199,44.20%,251,55.80%,2001
Penguins of Madagascar,374,283%,2.8,132,84,22.40%,290,77.60%,2014
Peter Rabbit,351,703%,7,50,115,32.80%,236,67.20%,2018
Pirates of the Caribbean: At World's End,961,320%,3.2,300,309,32.20%,652,67.80%,2007
Pirates of the Caribbean: Dead Man's Chest,1066,474%,4.7,225,423,39.70%,643,60.30%,2006
Pirates of the Caribbean: Dead Men Tell No Tales,795,346%,3.5,230,173,21.70%,622,78.30%,2017
Pirates of the Caribbean: On Stranger Tides,1046,276%,2.8,379,241,23.00%,805,77.00%,2011
Pirates of the Caribbean: The Curse of the Black Pearl,654,467%,4.7,140,305,46.70%,349,53.30%,2003
Planet of the Apes,362,362%,3.6,100,180,49.70%,182,50.30%,2001
Pocahontas,346,629%,6.3,55,142,40.90%,205,59.10%,1995
Pokémon Detective Pikachu,433,289%,2.9,150,144,33.30%,289,66.70%,2019
Pretty Woman,463,3310%,33.1,14,178,38.50%,285,61.50%,1990
Prince Caspian,420,187%,1.9,225,142,33.80%,278,66.20%,2008
Prince of Persia: The Sands of Time,336,182%,1.8,185,91,27.00%,246,73.00%,2009
Prometheus,403,310%,3.1,130,126,31.40%,277,68.60%,2012
Puss in Boots,555,427%,4.3,130,149,26.90%,406,73.10%,2011
Quantum of Solace,590,268%,2.7,220,168,28.60%,421,71.40%,2008
Raiders of the Lost Ark,390,1950%,19.5,20,248,63.60%,142,36.40%,1981
Rain Man,355,1419%,14.2,25,173,48.70%,182,51.30%,1988
Ralph Breaks the Internet,529,302%,3,175,201,38.00%,328,62.00%,2018
Rampage,428,357%,3.6,120,101,23.60%,327,76.40%,2018
Ransom,309,442%,4.4,70,136,44.10%,173,55.90%,1996
Ratatouille,624,416%,4.2,150,206,33.10%,417,66.90%,2007
Ready Player One,583,333%,3.3,175,138,23.60%,445,76.40%,2018
Resident Evil: The Final Chapter,312,781%,7.8,40,27,8.60%,285,91.40%,2016
Return of the Jedi,475,1105%,11,43,309,65.10%,166,34.90%,1983
Revenge of the Sith,868,768%,7.7,113,380,43.80%,488,56.20%,2005
Rio,484,538%,5.4,90,144,29.70%,340,70.30%,2011
Rio 2,499,384%,3.8,130,132,26.40%,367,73.60%,2014
Rise of the Planet of the Apes,482,518%,5.2,93,177,36.70%,305,63.30%,2011
Robin Hood,322,162%,1.6,198,105,32.70%,216,67.30%,2010
Robin Hood: Prince of Thieves,390,814%,8.1,48,165,42.40%,225,57.60%,1991
Rogue One,1059,385%,3.8,275,534,50.40%,525,49.60%,2016
Rush Hour 2,347,386%,3.9,90,226,65.10%,121,34.90%,2001
San Andreas,474,431%,4.3,110,155,32.70%,319,67.30%,2015
Saving Private Ryan,482,689%,6.9,70,217,45.00%,265,55.00%,1998
Saw IV,139,1394%,13.9,10,63.3,45.40%,76.1,54.60%,2007
Saw V,114,1054%,10.5,10.8,56.8,49.80%,57.1,50.20%,2008
Schindler's List,322,1464%,14.6,22,97,30.10%,225,69.90%,1993
Se7en,327,1091%,10.9,30,100,30.60%,227,69.40%,1995
Searching,75,7538%,75.4,1,26,34.50%,49.4,65.50%,2018
Semi-Pro,44,1688%,16.9,2.6,33.5,76.30%,10.4,23.70%,2008
Sex and the City,419,644%,6.4,65,153,36.40%,266,63.60%,2008
Shang-Chi,432,288%,2.9,150,225,52.00%,208,48.00%,2021
Shark Tale,375,499%,5,75,161,42.90%,214,57.10%,2004
Shazam!,366,366%,3.7,100,140,38.40%,226,61.60%,2019
Sherlock Holmes,524,582%,5.8,90,209,39.90%,315,60.10%,2009
Sherlock Holmes: A Game of Shadows,544,435%,4.4,125,187,34.40%,357,65.60%,2011
Shrek,488,814%,8.1,60,268,54.90%,220,45.10%,2001
Shrek 2,929,619%,6.2,150,441,47.50%,488,52.50%,2004
Shrek Forever After,753,456%,4.6,165,239,31.70%,514,68.30%,2010
Shrek the Third,813,508%,5.1,160,323,39.70%,491,60.30%,2007
Signs,408,567%,5.7,72,228,55.80%,180,44.20%,2002
Silver Linings Playbook,236,1126%,11.3,21,132.1,55.90%,104.3,44.10%,2012
Sing,634,846%,8.5,75,271,42.70%,364,57.30%,2016
Sing 2,407,479%,4.8,85,163,40.00%,245,60.00%,2021
